"term_id"	"parent_id"
"EFO_0000504"	"EFO_1000304|EFO_0000503|EFO_0007330"
"EFO_0000508"	"EFO_0000408"
"EFO_0000512"	"EFO_0009663"
"EFO_0000514"	"EFO_0000616"
"EFO_0000516"	"EFO_0001058|EFO_0003966"
"EFO_0000519"	"MONDO_0016680"
"EFO_0000524"	"MONDO_0024505"
"EFO_0000536"	"MONDO_0045024"
"EFO_0000537"	"MONDO_0000473"
"EFO_0000538"	"MONDO_0000591"
"EFO_0000540"	"MONDO_0021199|EFO_0000408"
"EFO_0000545"	"EFO_0000512"
"EFO_0000546"	"EFO_0000408"
"EFO_0000549"	"EFO_0002422|EFO_1000045"
"EFO_0000551"	"EFO_0003763"
"EFO_0000552"	"EFO_0000186|EFO_1000382"
"EFO_0000553"	"EFO_1000307|EFO_0008509"
"EFO_0000555"	"MONDO_0002254|EFO_0009431"
"EFO_0000556"	"HP_0001626"
"EFO_0000557"	"MONDO_0018010|MONDO_0017021|EFO_0000398"
"EFO_0000558"	"MONDO_0015157|EFO_0003968|EFO_0004198"
"EFO_0000559"	"EFO_0000707"
"EFO_0000563"	"MONDO_0002120|MONDO_0005232"
"EFO_0000564"	"EFO_1001968|MONDO_0017345|MONDO_0002924"
"EFO_0000565"	"MONDO_0005374|EFO_0001642|MONDO_0044881"
"EFO_0000569"	"EFO_1001968|MONDO_0002813|EFO_0005755"
"EFO_0000571"	"EFO_0003060|EFO_0000228"
"EFO_0000574"	"EFO_0001642|MONDO_0015757"
"EFO_0000580"	"EFO_0000186"
"EFO_0000584"	"MONDO_0021108|EFO_0001423"
"EFO_0000588"	"EFO_1001044"
"EFO_0000589"	"MONDO_0021195|MONDO_0024297|EFO_0000408"
"EFO_0000595"	"EFO_0001376"
"EFO_0000612"	"MONDO_0024643"
"EFO_0000613"	"MONDO_0020561"
"EFO_0000614"	"MONDO_0021107|EFO_0005774"
"EFO_0000616"	"MONDO_0023370"
"EFO_0000618"	"MONDO_0021199|EFO_0000408"
"EFO_0000621"	"MONDO_0021635|EFO_1000393"
"EFO_0000622"	"EFO_0002431"
"EFO_0000625"	"EFO_0002422|EFO_0004198"
"EFO_0000630"	"MONDO_0016701|MONDO_0021639|MONDO_0021638"
"EFO_0000632"	"MONDO_0018744|MONDO_0021639"
"EFO_0000637"	"EFO_0000691|EFO_0003820"
"EFO_0000639"	"EFO_1000448|MONDO_0002512|EFO_0006387"
"EFO_0000640"	"MONDO_0002512|EFO_0005708"
"EFO_0000641"	"MONDO_0024622|MONDO_0002512|EFO_1002017"
"EFO_0000649"	"EFO_0009903|MONDO_0002635"
"EFO_0000650"	"MONDO_0037872|EFO_0000684"
"EFO_0000651"	"BFO_0000019"
"EFO_0000653"	"EFO_0007271"
"EFO_0000658"	"EFO_0000622"
"EFO_0000660"	"EFO_0005771|MONDO_0002254|EFO_0001379|EFO_0000508"
"EFO_0000662"	"MONDO_0045024"
"EFO_0000666"	"MONDO_0002405"
"EFO_0000668"	"MONDO_0045048"
"EFO_0000673"	"EFO_0001663|EFO_0000228"
"EFO_0000676"	"MONDO_0044999|EFO_1000636|EFO_0000540|EFO_0009903"
"EFO_0000677"	"MONDO_0002025|EFO_0005774"
"EFO_0000678"	"MONDO_0021452|EFO_1000110"
"EFO_0000681"	"EFO_0002890|EFO_0000228"
"EFO_0000684"	"MONDO_0021199|EFO_0000408"
"EFO_0000685"	"EFO_0005856|EFO_0005140|MONDO_0000589"
"EFO_0000691"	"EFO_0000311"
"EFO_0000692"	"EFO_0005407"
