term_id	parent_id
MONDO_0000315	MONDO_0005113
MONDO_0000316	MONDO_0005113
MONDO_0000320	MONDO_0004928|MONDO_0018077
MONDO_0000321	MONDO_0018077
MONDO_0000327	MONDO_0020590|MONDO_0000314
MONDO_0000328	MONDO_0002319
MONDO_0000330	MONDO_0001246
MONDO_0000331	MONDO_0001195|MONDO_0025294
MONDO_0000332	MONDO_0016003|MONDO_0024416
MONDO_0000333	MONDO_0005714
MONDO_0000334	MONDO_0006869
MONDO_0000335	MONDO_0004944
MONDO_0000336	MONDO_0004944
MONDO_0000337	MONDO_0005949|MONDO_0024294|MONDO_0006547
MONDO_0000338	MONDO_0004651|MONDO_0024294|MONDO_0006547
MONDO_0000339	MONDO_0000341
MONDO_0000340	MONDO_0000341
MONDO_0000341	MONDO_0017373
MONDO_0000342	MONDO_0005643
MONDO_0000343	MONDO_0005643
MONDO_0000344	MONDO_0005643
MONDO_0000345	MONDO_0005108
MONDO_0000346	MONDO_0005784
MONDO_0000351	MONDO_0019222|MONDO_0037938
MONDO_0000355	MONDO_0016148|MONDO_0019950|MONDO_0020127
MONDO_0000358	MONDO_0044987|MONDO_0000839
MONDO_0000359	MONDO_0000812|MONDO_0018234
MONDO_0000363	MONDO_0004497
MONDO_0000365	MONDO_0020366
MONDO_0000367	MONDO_0024271|MONDO_0042488
MONDO_0000368	MONDO_0018076
MONDO_0000369	MONDO_0000368|MONDO_0044965|MONDO_0021166
MONDO_0000371	MONDO_0044925|MONDO_0004647
MONDO_0000372	MONDO_0004647|MONDO_0021345
MONDO_0000373	MONDO_0004647|MONDO_0003220
MONDO_0000374	MONDO_0004715|MONDO_0005496
MONDO_0000375	MONDO_0002806|MONDO_0004660
MONDO_0000376	MONDO_0004992|MONDO_0005087
MONDO_0000377	MONDO_0006266|MONDO_0002149
MONDO_0000378	MONDO_0002696|MONDO_0002149
MONDO_0000379	MONDO_0002479|MONDO_0005447
MONDO_0000380	MONDO_0056819|MONDO_0020669|MONDO_0002415
MONDO_0000381	MONDO_0004010|MONDO_0005221
MONDO_0000382	MONDO_0005165|MONDO_0005087
MONDO_0000383	MONDO_0005165|MONDO_0006054
MONDO_0000384	MONDO_0004180|MONDO_0004987
MONDO_0000385	MONDO_0021223|MONDO_0005165
MONDO_0000386	MONDO_0024503
MONDO_0000387	MONDO_0001245|MONDO_0001357
MONDO_0000389	MONDO_0005516
MONDO_0000390	MONDO_0003004|MONDO_0020242
MONDO_0000393	MONDO_0000408
MONDO_0000395	MONDO_0000408|MONDO_0002326
MONDO_0000396	MONDO_0006497
MONDO_0000397	MONDO_0006497
MONDO_0000400	MONDO_0006497
MONDO_0000402	MONDO_0002120
MONDO_0000405	MONDO_0005814|MONDO_0024634
MONDO_0000406	MONDO_0008891
MONDO_0000407	MONDO_0006294|MONDO_0002176|MONDO_0021041
MONDO_0000408	MONDO_0000592
MONDO_0000409	MONDO_0005113|MONDO_0045013|MONDO_0021166
MONDO_0000410	MONDO_0021562|MONDO_0024575
MONDO_0000411	MONDO_0005027
MONDO_0000412	MONDO_0000411
MONDO_0000413	MONDO_0000411
MONDO_0000414	MONDO_0000411
MONDO_0000415	MONDO_0000411
MONDO_0000417	MONDO_0000414
MONDO_0000421	MONDO_0019239
MONDO_0000424	MONDO_0005528|MONDO_0020696
